 time            vcmp            p1              p2             
 0.00000000e+00  1.41527641e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  1.41500094e+00  1.50000000e-02  0.00000000e+00 
 2.00000000e-09  1.41469699e+00  3.00000000e-02  0.00000000e+00 
 4.00000000e-09  1.41406302e+00  6.00000000e-02  0.00000000e+00 
 8.00000000e-09  1.41270912e+00  1.20000000e-01  0.00000000e+00 
 1.12088796e-08  1.41152340e+00  1.68133194e-01  0.00000000e+00 
 1.37573920e-08  1.41051026e+00  2.06360880e-01  0.00000000e+00 
 1.60400167e-08  1.40954323e+00  2.40600250e-01  0.00000000e+00 
 1.97337734e-08  1.40784495e+00  2.96006601e-01  0.00000000e+00 
 2.12985214e-08  1.40707058e+00  3.19477821e-01  0.00000000e+00 
 2.33814512e-08  1.40598355e+00  3.50721768e-01  0.00000000e+00 
 2.55489703e-08  1.40477882e+00  3.83234555e-01  0.00000000e+00 
 2.82040557e-08  1.40319057e+00  4.23060836e-01  0.00000000e+00 
 3.08756475e-08  1.40145391e+00  4.63134713e-01  0.00000000e+00 
 3.21998303e-08  1.40053682e+00  4.82997455e-01  0.00000000e+00 
 3.31086174e-08  1.39988437e+00  4.96629261e-01  0.00000000e+00 
 3.37900960e-08  1.39938234e+00  5.06851440e-01  0.00000000e+00 
 3.44618313e-08  1.39887646e+00  5.16927470e-01  0.00000000e+00 
 3.52899491e-08  1.39573219e+00  5.29349237e-01  0.00000000e+00 
 3.56614665e-08  1.38871804e+00  5.34921997e-01  0.00000000e+00 
 3.61412046e-08  1.38089810e+00  5.42118069e-01  0.00000000e+00 
 3.67638571e-08  1.37194160e+00  5.51457856e-01  0.00000000e+00 
 3.73926035e-08  1.36313406e+00  5.60889052e-01  0.00000000e+00 
 3.86500963e-08  1.34621496e+00  5.79751445e-01  0.00000000e+00 
 4.11650820e-08  1.31424143e+00  6.17476230e-01  0.00000000e+00 
 4.41763973e-08  1.27476137e+00  6.62645960e-01  0.00000000e+00 
 4.84826251e-08  1.20571673e+00  7.27239376e-01  0.00000000e+00 
 5.07818250e-08  1.15935297e+00  7.61727375e-01  0.00000000e+00 
 5.21078605e-08  1.12968547e+00  7.81617908e-01  0.00000000e+00 
 5.36189420e-08  1.09362669e+00  8.04284130e-01  0.00000000e+00 
 5.50367095e-08  1.05853381e+00  8.25550642e-01  0.00000000e+00 
 5.78722444e-08  9.88514214e-01  8.68083666e-01  0.00000000e+00 
 6.29064804e-08  8.80389665e-01  9.43597207e-01  0.00000000e+00 
 6.81952578e-08  8.03238568e-01  1.02292887e+00  0.00000000e+00 
 6.90992126e-08  7.94228517e-01  1.03648819e+00  0.00000000e+00 
